Seconds: 977426393.820
Index is 10000000 
Number is 10 
Index is 20000000 
Number is 11 
Index is 30000000 
Number is 10 
Index is 40000000 
Number is 5 
Index is 50000000 
Number is 13 
Index is 60000000 
Number is 3 
Index is 70000000 
Number is 17 
Index is 80000000 
Number is 16 
Index is 90000000 
Number is 4 
Index is 100000000 
Number is 18 
Count [0] is 5000912 
Count [1] is 5000637 
Count [2] is 5003292 
Count [3] is 5005062 
Count [4] is 5001198 
Count [5] is 5002524 
Count [6] is 5002446 
Count [7] is 5002266 
Count [8] is 5000194 
Count [9] is 4999417 
Count [10] is 4997718 
Count [11] is 4997355 
Count [12] is 4999735 
Count [13] is 4998401 
Count [14] is 5000606 
Count [15] is 4997795 
Count [16] is 4997785 
Count [17] is 4998882 
Count [18] is 4996175 
Count [19] is 4997600 
Seconds: 977426410.620
