Start time: 1294725133.148
Index is 10000000 
Number is 11 
Index is 20000000 
Number is 5 
Index is 30000000 
Number is 12 
Index is 40000000 
Number is 5 
Index is 50000000 
Number is 15 
Index is 60000000 
Number is 12 
Index is 70000000 
Number is 15 
Index is 80000000 
Number is 0 
Index is 90000000 
Number is 14 
Index is 100000000 
Number is 6 
Count [0] is 5000294 
Count [1] is 4998521 
Count [2] is 5002444 
Count [3] is 5001084 
Count [4] is 4999744 
Count [5] is 4996901 
Count [6] is 4999872 
Count [7] is 5006662 
Count [8] is 4998863 
Count [9] is 4997058 
Count [10] is 4998295 
Count [11] is 5000986 
Count [12] is 4998655 
Count [13] is 5002232 
Count [14] is 4999460 
Count [15] is 5002386 
Count [16] is 5001196 
Count [17] is 5001380 
Count [18] is 4995227 
Count [19] is 4998740 
Elapsed time: 1.860 secs
